"일련번호","아파트","도로명주소","월","일","전용면적","층","거래금액"
"11680-573","개포주공","서울특별시 강남구 개포로 310",2,15,58.08,1,"242000"
"11680-573","개포주공","서울특별시 강남구 개포로 310",2,15,35.87,1,"163000"
"11680-573","개포주공","서울특별시 강남구 개포로 310",2,15,50.64,5,"213000"
"11680-314","까치마을","서울특별시 강남구 광평로19길 10",2,15,34.44,2,"75700"
"11680-314","까치마을","서울특별시 강남구 광평로19길 10",2,15,34.44,4,"77000"
"11680-3728","롯데캐슬노블","서울특별시 강남구 도곡로13길 19",2,15,176.03,4,"175000"
"11680-20","미성","서울특별시 강남구 압구정로 113",2,15,118.63,6,"253000"
"11680-331","삼성래미안","서울특별시 강남구 남부순환로 2803",2,15,59.96,7,"157000"
"11680-177","서광","서울특별시 강남구 선릉로130길 19",2,15,59.67,9,"146500"
"11680-4090","세곡푸르지오","서울특별시 강남구 자곡로 21",2,15,84.83,8,"132500"
"11680-4090","세곡푸르지오","서울특별시 강남구 자곡로 21",2,15,84.83,13,"133000"
"11680-4090","세곡푸르지오","서울특별시 강남구 자곡로 21",2,15,59.89,5,"109500"
"11680-318","수서한아름","서울특별시 강남구 광평로51길 22",2,15,129.45,10,"162500"
"11680-3621","역삼래미안","서울특별시 강남구 선릉로69길 19",2,15,59.73,7,"146000"
"11680-65","청담","서울특별시 강남구 도산대로89길 49",2,15,84.595,14,"181000"
"11680-222","한보미도맨션","서울특별시 강남구 삼성로 150",2,15,84.48,10,"220000"
"11680-481","한보미도맨션","서울특별시 강남구 삼성로 150",2,15,84.96,4,"220000"
"11680-378","한양","서울특별시 강남구 압구정로 321",2,15,63.87,8,"200000"
"11680-3830","현대힐스테이트","서울특별시 강남구 삼성로111길 8",2,15,84.236,11,"240000"
"11680-3622","e-편한세상","서울특별시 강남구 선릉로69길 20",2,15,59.606,1,"153000"
"11680-531","대우아이빌멤버스","서울특별시 강남구 삼성로85길 42",2,16,35.236,12,"36000"
"11680-308","푸른마을","서울특별시 강남구 일원로14길 25",2,16,84.93,10,"160000"
"11680-4199","강남엘에이치","서울특별시 강남구 헌릉로571길 20",2,17,59.89,9,"108200"
"11680-4298","강남한양수자인","서울특별시 강남구 자곡로 260",2,17,84.99,2,"141000"
"11680-573","개포주공","서울특별시 강남구 개포로 310",2,17,58.08,4,"315000"
"11680-573","개포주공","서울특별시 강남구 개포로 310",2,17,42.55,4,"202000"
"11680-277","경남","서울특별시 강남구 언주로 110",2,17,96.98,2,"197000"
"11680-3623","도곡렉슬","서울특별시 강남구 선릉로 221",2,17,84.9984,10,"231000"
"11680-20","미성","서울특별시 강남구 압구정로 113",2,17,74.4,13,"195000"
"11680-168","삼성동롯데","서울특별시 강남구 학동로 432",2,17,84.87,14,"180000"
"11680-280","성원대치","서울특별시 강남구 개포로109길 9",2,17,33.18,10,"94000"
"11680-3621","역삼래미안","서울특별시 강남구 선릉로69길 19",2,17,59.4,13,"165800"
"11680-221","청암빌라트","서울특별시 강남구 남부순환로391길 7",2,17,163.8,7,"160000"
"11680-481","한보미도맨션","서울특별시 강남구 삼성로 150",2,17,84.96,9,"223000"
"11680-22","현대빌라트","서울특별시 강남구 압구정로29길 49",2,17,181.81,5,"350000"
"11680-4199","강남엘에이치","서울특별시 강남구 헌릉로571길 20",2,18,59.99,10,"104000"
"11680-573","개포주공","서울특별시 강남구 개포로 310",2,18,35.64,5,"170000"
"11680-391","개포주공","서울특별시 강남구 삼성로4길 17",2,18,83.17,12,"198000"
"11680-3879","도곡지웰카운티","서울특별시 강남구 남부순환로373길 3",2,18,107.11,5,"168000"
"11680-30","목화","서울특별시 강남구 도산대로85길 53",2,18,133.97,4,"180000"
"11680-279","삼익대청","서울특별시 강남구 개포로109길 21",2,18,51.12,7,"123000"
"11680-290","개포주공","서울특별시 강남구 개포로 516",2,19,60.13,2,"167700"
"11680-314","까치마을","서울특별시 강남구 광평로19길 10",2,19,39.6,12,"89800"
"11680-444","논현아트빌","서울특별시 강남구 논현로124길 7",2,19,90.38,2,"96800"
"11680-3623","도곡렉슬","서울특별시 강남구 선릉로 221",2,19,84.9984,7,"230000"
"11680-3623","도곡렉슬","서울특별시 강남구 선릉로 221",2,19,59.9937,22,"162000"
"11680-4293","래미안대치하이스턴","서울특별시 강남구 도곡로93길 12",2,19,110.39,6,"230000"
"11680-4319","래미안강남힐즈","서울특별시 강남구 자곡로 101",2,19,91.96,7,"144500"
"11680-301","목련타운","서울특별시 강남구 광평로19길 15",2,19,134.71,11,"200000"
"11680-192","삼성풍림","서울특별시 강남구 봉은사로105길 12-7",2,19,59.94,3,"144000"
"11680-269","세방하이빌","서울특별시 강남구 역삼로 240",2,19,59.77,6,"99000"
"11680-318","수서한아름","서울특별시 강남구 광평로51길 22",2,19,163.68,10,"181500"
"11680-472","아이파크","서울특별시 강남구 영동대로 640",2,19,195.388,23,"570000"
"11680-4356","아크로힐스논현","서울특별시 강남구 언주로 604",2,19,113.231,14,"228000"
"11680-504","역삼동우정에쉐르","서울특별시 강남구 테헤란로4길 32",2,19,59.81,4,"72000"
"11680-218","은마","서울특별시 강남구 삼성로 212",2,19,84.43,9,"217500"
